Mia Wasikowska,F
Nadia Bjorlin,F
Portia Doubleday,F
Vanessa Hudgens,F
Imogen Poots,F
Anessa Ramsey,F
Ariana Grande,F
Emily Browning,F
Leelee Sobieski,F
Kelly Reilly,F
Raquel Alessi,F
Selma Blair,F
Alicja Bachleda,F
Kristanna Loken,F
Emmy Rossum,F
Mia Kirshner,F
Elizabeth Rice,F
Jennifer Missoni,F
Veronica Taylor,F
Jessica Lu,F
Lauren German,F
Cassie Scerbo,F
Kirsten Dunst,F
Bijou Phillips,F
Daniella Alonso,F
Shawnee Smith,F
Kristen Stewart,F
Olga Kurylenko,F
Amanda Peet,F
Ashley Judd,F
Elena Satine,F
Olivia Munn,F
Natasha Henstridge,F
Mira Sorvino,F
Sarah Roemer,F
Delphine Chanéac,F
Giselle Itié,F
Bella Dayne,F
Grace Holley,F
Alexandra Breckenridge,F
Jaime Ray Newman,F
Napakpapha Nakprasitte,F
Rachel Maxwell,F
Sarah Habel,F
Zoey Deutch,F
Tyne Stecklein,F
Cherami Leigh,F
Nicole Taylor,F
Sharlene Rochard,F
Luisa Moraes,F
Ivana Baquero,F
Haruka Abe,F
Julie Ordon,F
Eloise Mumford,F
Jessica Stam,F
Roxane Mesquida,F
Kristen Connolly,F
Sasha Pieterse,F
Rachel Skarsten,F
Brooklyn Sudano,F
Jasmine Waltz,F
Hannah Marks,F
Jack Nicholson,M
Ralph Fiennes,M
Daniel Day-Lewis,M
Robert De Niro,M
Al Pacino,M
Dustin Hoffman,M
Tom Hanks,M
Brad Pitt,M
Anthony Hopkins,M
Marlon Brando,M
Jeremy Irons,M
Denzel Washington,M
Gene Hackman,M
Jeff Bridges,M
Tim Robbins,M
Henry Fonda,M
William Hurt,M
Kevin Costner,M
Clint Eastwood,M
Leonardo DiCaprio,M
Mel Gibson,M
Robert Duvall,M
Samuel L. Jackson,M
Tommy Lee Jones,M
Kevin Spacey,M
Nicolas Cage,M
Kevin Kline,M
Morgan Freeman,M
Michael Caine,M
Russell Crowe,M
Bruce Willis,M
Johnny Depp,M
Ben Kingsley,M
Steve McQueen,M
Tom Cruise,M
Heath Ledger,M
Philip Seymour Hoffman,M
John Malkovich,M
Christian Bale,M
Richard Dreyfuss,M
Jason Robards,M
Colin Firth,M
George Clooney,M
Edward Norton,M
Sean Connery,M
Yves Montand,M
Richard Gere,M
Gary Oldman,M
Harrison Ford,M
Matt Damon,M
John Gielgud,M
Joe Pesci,M
Paul Newman,M
Woody Harrelson,M
John Hurt,M
Sean Penn,M
Christopher Walken,M
Mickey Rourke,M
Peter O'Toole,M
Michael Douglas,M
Willem Dafoe,M
Charlton Heston,M
Forest Whitaker,M
James Coburn,M
Liam Neeson,M
Will Smith,M
Robin Williams,M
Keanu Reeves,M
Harvey Keitel,M
Michael Madsen,M
Kevin Bacon,M
Ed Harris,M
Alain Delon,M
Chris Cooper,M
Gérard Depardieu,M
Justin Theroux,M
Nick Nolte,M
Val Kilmer,M
Joaquin Phoenix,M
Jared Leto,M
Laurence Fishburne,M
Antonio Banderas,M
John Travolta,M
John Goodman,M
Arnold Schwarzenegger,M
Adrien Brody,M
Michael Keaton,M
Billy Bob Thornton,M
Hugo Weaving,M
Sam Shepard,M
Jude Law,M
Geoffrey Rush,M
Roberto Benigni,M
Jürgen Prochnow,M
Alec Baldwin,M
Joseph Fiennes,M
Sebastian Koch,M
F. Murray Abraham,M
Javier Bardem,M
John Wayne,M
Jake Gyllenhaal,M
Haing S. Ngor,M
Viggo Mortensen,M
Christoph Waltz,M
Benicio Del Toro,M
Anthony Quinn,M
John C. Reilly,M
Dennis Hopper,M
Martin Sheen,M
Marcello Mastroianni,M
Hugh Grant,M
Peter Sellers,M
Tony Chiu Wai Leung,M
Ray Liotta,M
Daniel Craig,M
Bill Murray,M
John Cusack,M
James Woods,M
Shia LaBeouf,M
Sidney Poitier,M
Clive Owen,M
Michael J. Fox,M
William H. Macy,M
John Cleese,M
George C. Scott,M
Bill Pullman,M
Steve Buscemi,M
Pierce Brosnan,M
Donald Sutherland,M
Woody Allen,M
Ewan McGregor,M
Tobey Maguire,M
Andy Garcia,M
Cuba Gooding Jr.,M
Robert Downey Jr.,M
Matthew Broderick,M
Gary Sinise,M
Robert Redford,M
Kyle MacLachlan,M
James Cromwell,M
Colin Farrell,M
Kiefer Sutherland,M
Kirk Douglas,M
Scott Glenn,M
Josh Hartnett,M
Matthew Modine,M
Ian McKellen,M
Ethan Hawke,M
Christian Slater,M
Jonathan Rhys Meyers,M
Jim Caviezel,M
Christopher Lambert,M
Orlando Bloom,M
Mark Ruffalo,M
Hugh Jackman,M
Christopher Lee,M
Tom Berenger,M
Tim Roth,M
Peter Ustinov,M
Patrick Stewart,M
Sam Neill,M
Michael York,M
Brian Dennehy,M
Tom Hulce,M
Matt Dillon,M
David Carradine,M
Ryan O'Neal,M
Kurt Russell,M
Don Cheadle,M
Aaron Eckhart,M
Jim Carrey,M
Eli Wallach,M
James Purefoy,M
Pete Postlethwaite,M
William Baldwin,M
Brian Cox,M
Ben Affleck,M
Emile Hirsch,M
Richard Jenkins,M
Elijah Wood,M
Gabriel Byrne,M
Dennis Quaid,M
Roger Moore,M
Jan Decleir,M
Sylvester Stallone,M
Don Johnson,M
Gene Bervoets,M
Harry Dean Stanton,M
Jean Reno,M
John Turturro,M
Armin Mueller-Stahl,M
Omar Sharif,M
Charlie Sheen,M
Eddie Murphy,M
Charles Bronson,M
Keith Carradine,M
Danny Glover,M
Timothy Dalton,M
Vince Vaughn,M
Vinnie Jones,M
Vincent Cassel,M
Jason Statham,M
Mads Mikkelsen,M
Edward James Olmos,M
Keith David,M
Ted Danson,M
Michael Clarke Duncan,M
Steve Martin,M
Albert Finney,M
Lee Van Cleef,M
Jeff Goldblum,M
Ciarán Hinds,M
Stanley Tucci,M
David Morse,M
Brent Spiner,M
Jamie Foxx,M
Philip Baker Hall,M
Jean-Paul Belmondo,M
Graham Greene,M
Roy Scheider,M
Jon Voight,M
Toshirô Mifune,M
Eric Bana,M
James Franco,M
Jack Black,M
Emilio Estevez,M
Sean Bean,M
Louis de Funès,M
Bourvil,M
Lino Ventura,M
Jack Lemmon,M
Art Carney,M
Peter Finch,M
John Mills,M
Ben Johnson,M
Joel Grey,M
George Burns,M
Melvyn Douglas,M
Timothy Hutton,M
Eric Stoltz,M
Louis Gossett Jr.,M
Don Ameche,M
Peter Fonda,M
Leslie Nielsen,M
Christopher Eccleston,M
Vincent Price,M
Philip Michael Thomas,M
Dexter Fletcher,M
Antonio Banderas,M
Michael Fassbender,M
